"country","dhsyear","iso3"
"Angola","2015","AGO"
"Benin","2017","BEN"
"Burundi","2016","BDI"
"Cameroon","2018","CMR"
"Ethiopia","2016","ETH"
"Ghana","2017","GHA"
"Guinea","2018","GIN"
"Malawi","2015","MWI"
"Mali","2018","MLI"
"Nigeria","2018","NGA"
"Senegal","2018","SEN"
"SouthAfrica","2017","ZAF"
"Tanzania","2015","TZA"
"Uganda","2016","UGA"
"Zambia","2018","ZMB"
"Zimbabwe","2015","ZWE"
"Gambia","2019","GMB"
"Liberia","2019","LBR"
"SierraLeone","2019","SLE"
"Rwanda","2019","RWA"
