,GID_1,fb_rwi_mean,fb_rwi_mean_pop_wght,FB_pntr_13p_all,FB_pntr_13p_female,FB_pntr_13p_male,FB_pntr_15p_all,FB_pntr_15p_female,FB_pntr_15p_male,FB_pntr_18p_all,FB_pntr_18p_female,FB_pntr_18p_male,FB_pntr_15to24_all,FB_pntr_15to24_female,FB_pntr_15to24_male,FB_pntr_25to59_all,FB_pntr_25to59_female,FB_pntr_25to59_male,FB_pntr_60p_all,FB_pntr_60p_female,FB_pntr_60p_male,FB_pntr_15to49_all,FB_pntr_15to49_female,FB_pntr_15to49_male,FB_pntr_18to24_all,FB_pntr_18to24_female,FB_pntr_18to24_male,FB_pntr_18to49_all,FB_pntr_18to49_female,FB_pntr_18to49_male,fb_key,wpop_2020_age_0_to_12months_male_fb_custom_locs,wpop_2020_age_1_to_4_male_fb_custom_locs,wpop_2020_age_5_to_9_male_fb_custom_locs,wpop_2020_age_10_to_14_male_fb_custom_locs,wpop_2020_age_15_to_19_male_fb_custom_locs,wpop_2020_age_20_to_24_male_fb_custom_locs,wpop_2020_age_25_to_29_male_fb_custom_locs,wpop_2020_age_30_to_34_male_fb_custom_locs,wpop_2020_age_35_to_39_male_fb_custom_locs,wpop_2020_age_40_to_44_male_fb_custom_locs,wpop_2020_age_45_to_49_male_fb_custom_locs,wpop_2020_age_50_to_54_male_fb_custom_locs,wpop_2020_age_55_to_59_male_fb_custom_locs,wpop_2020_age_60_to_64_male_fb_custom_locs,wpop_2020_age_65_to_69_male_fb_custom_locs,wpop_2020_age_70_to_74_male_fb_custom_locs,wpop_2020_age_75_to_79_male_fb_custom_locs,wpop_2020_age_80plus_male_fb_custom_locs,wpop_2020_age_0_to_12months_female_fb_custom_locs,wpop_2020_age_1_to_4_female_fb_custom_locs,wpop_2020_age_5_to_9_female_fb_custom_locs,wpop_2020_age_10_to_14_female_fb_custom_locs,wpop_2020_age_15_to_19_female_fb_custom_locs,wpop_2020_age_20_to_24_female_fb_custom_locs,wpop_2020_age_25_to_29_female_fb_custom_locs,wpop_2020_age_30_to_34_female_fb_custom_locs,wpop_2020_age_35_to_39_female_fb_custom_locs,wpop_2020_age_40_to_44_female_fb_custom_locs,wpop_2020_age_45_to_49_female_fb_custom_locs,wpop_2020_age_50_to_54_female_fb_custom_locs,wpop_2020_age_55_to_59_female_fb_custom_locs,wpop_2020_age_60_to_64_female_fb_custom_locs,wpop_2020_age_65_to_69_female_fb_custom_locs,wpop_2020_age_70_to_74_female_fb_custom_locs,wpop_2020_age_75_to_79_female_fb_custom_locs,wpop_2020_age_80plus_female_fb_custom_locs,wpop_2020_total_pop_all_fb_custom_locs,wpop_2020_total_pop_male_fb_custom_locs,wpop_2020_total_pop_female_fb_custom_locs,wpop_2020_age_10plus_all_fb_custom_locs,wpop_2020_age_10plus_male_fb_custom_locs,wpop_2020_age_10plus_female_fb_custom_locs,wpop_2020_age_15plus_all_fb_custom_locs,wpop_2020_age_15plus_male_fb_custom_locs,wpop_2020_age_15plus_female_fb_custom_locs,wpop_2020_age_15_to_24_all_fb_custom_locs,wpop_2020_age_15_to_24_male_fb_custom_locs,wpop_2020_age_15_to_24_female_fb_custom_locs,wpop_2020_age_25_to_59_all_fb_custom_locs,wpop_2020_age_25_to_59_male_fb_custom_locs,wpop_2020_age_25_to_59_female_fb_custom_locs,wpop_2020_age_60plus_all_fb_custom_locs,wpop_2020_age_60plus_male_fb_custom_locs,wpop_2020_age_60plus_female_fb_custom_locs,wpop_2020_age_15_to_49_all_fb_custom_locs,wpop_2020_age_15_to_49_male_fb_custom_locs,wpop_2020_age_15_to_49_female_fb_custom_locs,wpop_2020_age_13plus_male_fb_custom_locs,wpop_2020_age_18plus_male_fb_custom_locs,wpop_2020_age_18_to_24_male_fb_custom_locs,wpop_2020_age_18_to_49_male_fb_custom_locs,wpop_2020_age_13plus_female_fb_custom_locs,wpop_2020_age_18plus_female_fb_custom_locs,wpop_2020_age_18_to_24_female_fb_custom_locs,wpop_2020_age_18_to_49_female_fb_custom_locs,wpop_2020_age_13plus_all_fb_custom_locs,wpop_2020_age_18plus_all_fb_custom_locs,wpop_2020_age_18_to_24_all_fb_custom_locs,wpop_2020_age_18_to_49_all_fb_custom_locs,wpop_2020_total_pop_fm_ratio_fb_custom_locs,wpop_2020_age_10plus_fm_ratio_fb_custom_locs,wpop_2020_age_15plus_fm_ratio_fb_custom_locs,wpop_2020_age_15_to_24_fm_ratio_fb_custom_locs,wpop_2020_age_25_to_59_fm_ratio_fb_custom_locs,wpop_2020_age_60plus_fm_ratio_fb_custom_locs,wpop_2020_age_15_to_49_fm_ratio_fb_custom_locs,wpop_2020_age_13plus_fm_ratio_fb_custom_locs,wpop_2020_age_18plus_fm_ratio_fb_custom_locs,wpop_2020_age_18_to_24_fm_ratio_fb_custom_locs,wpop_2020_age_18_to_49_fm_ratio_fb_custom_locs,wpop_2020_age_15_to_49_all_frac_fb_custom_locs,wpop_2020_age_15_to_49_female_frac_fb_custom_locs,wpop_2020_age_15_to_49_male_frac_fb_custom_locs,wpop_2020_pop_density_fb_custom_locs,wpop_2020_pop_density_log_fb_custom_locs,weighted_FB_pntr_13p_all,weighted_FB_pntr_60p_all,weighted_FB_pntr_15p_all,weighted_FB_pntr_18p_all,weighted_FB_pntr_15to24_all,weighted_FB_pntr_25to59_all,weighted_FB_pntr_15to49_all,weighted_FB_pntr_18to49_all,weighted_FB_pntr_18to24_all,weighted_FB_pntr_13p_female,weighted_FB_pntr_13p_male,weighted_FB_pntr_15p_female,weighted_FB_pntr_15p_male,weighted_FB_pntr_18p_female,weighted_FB_pntr_18p_male,weighted_FB_pntr_60p_male,weighted_FB_pntr_15to24_female,weighted_FB_pntr_15to24_male,weighted_FB_pntr_25to59_female,weighted_FB_pntr_25to59_male,weighted_FB_pntr_60p_female,weighted_FB_pntr_15to49_female,weighted_FB_pntr_15to49_male,weighted_FB_pntr_18to24_female,weighted_FB_pntr_18to24_male,weighted_FB_pntr_18to49_female,weighted_FB_pntr_18to49_male
0,SEN1,0.69521359223301,1.12464526808896,0.752464501827616,0.566948589721127,0.942864068146373,0.801666304783373,0.605756549969427,1.0,0.843895632427534,0.640956847347349,1.0,0.755800580700326,0.573031033099966,0.978711180640385,0.842348851603765,0.642395159401912,1.0,0.794887773564335,0.58542974699037,0.970618251431332,0.829810389088787,0.628039238039368,1.0,0.912291995369109,0.684815094146453,1.0,0.883215445605471,0.694857901629163,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899999.9999999988,109999.99999999996,1899999.9999999998,1799999.9999999998,609999.9999999998,1200000.0000000005,1700000.000000001,1599999.999999999,519999.99999999977,710000.0000000002,1199999.9999999995,710000.0000000002,1197975.41210938,669999.9999999997,1087652.99960937,68000.00000000003,598996.3189657854,380000.0000000002,439999.99999999965,739651.25390625,39999.999999999985,640000.0000000005,1029616.171875,200000.0,277943.30625,620000.0,919293.759375
1,SEN2,-0.511160342717258,-0.109181237612485,0.107533157085018,0.0606614876737442,0.160081362881239,0.116980921868192,0.0638929022126017,0.173023316967629,0.120760739327488,0.0680523463233478,0.182358992341865,0.144738821849058,0.0841759387271505,0.218829999662101,0.106117055201708,0.0554489458253511,0.165615507936467,0.0530708181411714,0.0389808731608398,0.067573051465778,0.13096836464733,0.0726507990805384,0.201664194906092,0.186523789082749,0.110890562104259,0.27808943805826,0.137934599675978,0.0767014175731575,0.215076131331286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119999.99999999975,5099.999999999997,119999.99999999971,110000.00000000017,50000.00000000004,61999.999999999796,110000.00000000015,99999.99999999981,42999.99999999998,36999.99999999999,81000.00000000003,35999.99999999999,80000.0000000002,33999.99999999999,75000.00000000003,3200.0,42055.59501394018,34000.000000000044,18000.000000000004,43000.00000000013,1899.9999999999977,34000.000000000015,75000.00000000013,13999.999999999962,29000.00000000003,31000.000000000015,68999.99999999987
2,SEN3,-0.472903961584634,-0.355179911656891,0.090843884239292,0.0561563984403599,0.131862889238192,0.100001328220559,0.0614426145675778,0.146105930700802,0.102767824008571,0.0593148707131817,0.145546104137855,0.150654970437032,0.092526897308187,0.192076686617132,0.0859253706561348,0.0499255082137139,0.129597378817077,0.0342376813104632,0.0197297268266146,0.0452480765010643,0.116951845550012,0.0717294459762893,0.165704331926576,0.178055874675373,0.110860284468435,0.233100838011171,0.120129975290946,0.0704982673880408,0.17483489326976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,1700.0000000000023,47000.000000000146,42999.99999999988,22999.999999999927,23000.000000000004,43999.999999999956,38999.999999999935,18000.00000000004,15000.000000000005,33000.00000000003,15000.000000000002,33000.000000000044,13000.000000000011,28999.99999999995,1099.9999999999995,20279.057351786818,15000.00000000001,7199.999999999995,15999.999999999944,500.0000000000012,14000.000000000002,29999.999999999964,5500.000000000011,12000.000000000007,12000.0,26999.99999999994
3,SEN4,-0.610347740667976,-0.516484236647289,0.0472566408808521,0.0245516724381163,0.0720406460370209,0.0518594358866317,0.0268198947793269,0.079447211500585,0.0524466049969862,0.0273713602690317,0.0768834945741289,0.0717556596459017,0.0385301540899126,0.107364546542708,0.0423262413247396,0.0206851891621553,0.0666123145110719,0.0228177355146713,0.0142020928514003,0.0241029785045316,0.0559133421311196,0.0298116167473818,0.0908894751141685,0.0877510885903352,0.0467445079585446,0.131174883876922,0.0611139250638597,0.030954717978821,0.0895083677410917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000.00000000002,699.9999999999999,18999.99999999999,17000.0,9000.0,8900.0,17000.00000000001,15999.999999999993,7300.000000000004,5100.000000000002,13999.999999999993,5099.999999999998,13999.999999999998,4600.0000000000055,12000.0,399.99999999999994,6475.334330173144,6499.999999999978,2299.999999999996,6599.999999999997,199.99999999999997,4800.000000000002,13000.000000000002,1999.9999999999989,5300.000000000015,4299.999999999996,10999.999999999996
4,SEN5,-0.428489386792453,-0.163283795591147,0.272561044621315,0.1632285985884,0.394526519761063,0.283224420288076,0.171853510902076,0.436180609639574,0.302745397384402,0.180426777208387,0.457600361532588,0.341857833212068,0.208870758804282,0.484121526722621,0.277826595642722,0.158786859589032,0.41892704516186,0.15013031850444,0.105982952424754,0.19672778546557,0.322444233984711,0.187963056697952,0.489291356159311,0.438288444431394,0.273803872554443,0.614465703141821,0.353035296637891,0.205116467798533,0.525188705887751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000.00000000006,8000.000000000022,180000.00000000015,170000.00000000017,75999.99999999993,100000.00000000013,170000.00000000003,160000.00000000012,64999.999999999985,60000.00000000017,129999.99999999991,58000.00000000002,130000.00000000001,54000.00000000005,120000.0000000001,5099.999999999995,62513.01026346183,52000.00000000001,30999.99999999991,68999.99999999993,2899.999999999987,53000.000000000015,119999.99999999993,21000.00000000002,43999.99999999997,50000.00000000011,110000.0000000001
5,SEN6,-0.445521410579345,-0.281002041532703,0.247906289774268,0.133790833553752,0.371067768581622,0.271180798759307,0.143668607519304,0.408492241802911,0.292345914875866,0.150135700228194,0.457313603611037,0.355871739957847,0.21289828768407,0.508703334652852,0.248347688856194,0.116216463235248,0.39990303132551,0.126321169209591,0.102484977260422,0.149502215519753,0.319980184560446,0.161622129916414,0.484531422738139,0.489652127028893,0.281522328960207,0.700087450606695,0.340208162876252,0.172159955963129,0.559049286346548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27999.99999999998,1000.0000000000035,27999.99999999996,27000.00000000003,11000.0,15999.999999999969,27000.00000000001,24999.999999999964,9799.999999999998,7900.000000000004,20000.000000000007,7799.999999999974,19999.99999999998,7299.999999999996,19999.99999999999,599.9999999999987,10351.685160368372,7599.999999999995,4000.000000000017,12000.000000000011,399.9999999999983,7300.000000000016,18999.999999999985,2900.000000000005,6800.000000000001,6800.000000000004,19000.0
6,SEN7,-0.559425454545455,-0.406935487746152,0.108871197913251,0.0633752594401089,0.151019576870219,0.116805258096829,0.068921612476876,0.166330545576848,0.123544550519131,0.0725801551516224,0.175963045881593,0.150693283708824,0.0911485707136988,0.20912171534421,0.105129394453034,0.061431715856327,0.150078430944815,0.0595972860276302,0.0399909171020067,0.0711016751205747,0.130996005816704,0.0752775459120959,0.185173255213366,0.196243979663349,0.115398595107342,0.272345575470855,0.141408071765942,0.0806301202223563,0.200098526638593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51000.00000000009,1900.0000000000014,49999.999999999796,46999.999999999935,20999.99999999999,27000.000000000055,47000.00000000012,43999.99999999987,18000.00000000002,15000.000000000007,35000.000000000044,14999.999999999996,35000.000000000065,14000.000000000002,33000.00000000002,1199.9999999999993,17581.66522689307,14000.000000000027,7999.999999999998,19000.00000000002,599.9999999999995,14000.000000000004,31999.99999999995,5499.999999999993,11999.999999999984,13000.000000000005,29999.99999999998
7,SEN8,-0.597318759936407,-0.459644771450091,0.141702612454114,0.0887355724218626,0.200587381760229,0.15259628597562,0.0926322144738654,0.22043503942313,0.158361727950266,0.0970627267353705,0.227692347832418,0.207830381895059,0.134681708679481,0.300018839073586,0.13387284165995,0.076723264541939,0.195228757867132,0.0638576185747234,0.0487928252041845,0.0807206810459303,0.173572056254975,0.103700511961266,0.250465473379919,0.25835622395994,0.159297047472217,0.367718419620176,0.184089920305464,0.11087961718535,0.26451719968591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91000.00000000025,3600.000000000001,90000.00000000029,83000.00000000006,40999.99999999999,44999.99999999999,84000.00000000017,77000.0000000001,34000.00000000006,30000.00000000001,61000.000000000146,29000.00000000001,61000.00000000008,27000.00000000001,56000.00000000007,2399.9999999999986,37464.49596723364,27999.999999999967,13999.999999999996,29999.999999999993,1299.9999999999995,27000.00000000002,55999.999999999905,10999.999999999987,23000.000000000007,25000.000000000073,50999.99999999997
8,SEN8,-0.597318759936407,-0.459644771450091,0.141702612454114,0.0887355724218626,0.200587381760229,0.15259628597562,0.0926322144738654,0.22043503942313,0.158361727950266,0.0970627267353705,0.227692347832418,0.207830381895059,0.134681708679481,0.300018839073586,0.13387284165995,0.076723264541939,0.195228757867132,0.0638576185747234,0.0487928252041845,0.0807206810459303,0.173572056254975,0.103700511961266,0.250465473379919,0.25835622395994,0.159297047472217,0.367718419620176,0.184089920305464,0.11087961718535,0.26451719968591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91000.00000000025,3600.000000000001,90000.00000000029,83000.00000000006,40999.99999999999,44999.99999999999,84000.00000000017,77000.0000000001,34000.00000000006,30000.00000000001,61000.000000000146,29000.00000000001,61000.00000000008,27000.00000000001,56000.00000000007,2399.9999999999986,37464.49596723364,27999.999999999967,13999.999999999996,29999.999999999993,1299.9999999999995,27000.00000000002,55999.999999999905,10999.999999999987,23000.000000000007,25000.000000000073,50999.99999999997
9,SEN9,-0.494064252336449,-0.270073835078039,0.0765226545338635,0.0415212846628883,0.114419166340932,0.0813358544068031,0.0441839562534246,0.127159301416696,0.0830576077033122,0.0420754558666398,0.131535488393756,0.12329675103278,0.0777537175638043,0.178559029896907,0.0637849039642013,0.0279136769210797,0.110996396958601,0.0340301715771591,0.0231103172205589,0.0445569790999103,0.0928172125273417,0.0506978007079706,0.149244763562008,0.151157913905058,0.0864783982392083,0.212688938817227,0.0969357679087688,0.0491029523306777,0.158858223890902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000.00000000001,1200.0,30000.00000000001,27000.000000000022,16000.00000000005,13000.000000000007,27999.999999999985,25000.00000000001,13000.000000000015,9199.99999999999,20999.99999999992,8999.999999999996,21000.00000000007,7599.999999999995,18999.999999999953,800.0000000000003,14044.488439005583,11000.000000000007,3300.000000000002,9500.00000000003,400.0,8500.000000000007,19999.99999999998,3899.9999999999977,8700.000000000007,7099.9999999999945,18000.000000000036
