,GID_1,HDI
0,SEN1,0.607
1,SEN2,0.589
2,SEN3,0.39
3,SEN4,0.464
4,SEN5,0.454
5,SEN6,0.459
6,SEN7,0.562
7,SEN8,0.452
8,SEN9,0.503
9,SEN10,0.454
10,GHA1,0.648
11,GHA2,0.633
12,GHA3,0.707
13,GHA4,0.618
14,GHA5,0.649
15,GHA6,0.641
16,GHA7,0.632
17,GHA8,0.539
18,GHA9,0.556
19,GHA10,0.566
20,AGO1,0.681
21,AGO2,0.615
22,AGO3,0.541
23,AGO4,0.702
24,AGO5,0.542
25,AGO6,0.451
26,AGO7,0.567
27,AGO8,0.521
28,AGO9,0.529
29,AGO10,0.535
30,AGO11,0.501
31,AGO12,0.504
32,AGO13,0.507
33,AGO14,0.582
34,AGO15,0.516
35,AGO16,0.519
36,AGO17,0.581
37,AGO18,0.579
38,BEN1,0.481
39,BEN2,0.62
40,BEN3,0.438
41,BEN4,0.524
42,BEN5,0.553
43,BEN6,0.535
44,CMR1,0.494
45,CMR2,0.655
46,CMR3,0.533
47,CMR4,0.462
48,CMR5,0.693
49,CMR7,0.549
50,CMR6,0.455
51,CMR8,0.616
52,CMR10,0.663
53,CMR9,0.617
54,COG1,0.463
55,COG2,0.53
56,COG4,0.495
57,COG3,0.465
58,COG5,0.448
59,COG6,0.506
60,COG7,0.542
61,COG8,0.475
62,COG9,0.482
63,COG10,0.489
64,COG11,0.623
65,COG12,0.614
66,COM3,0.54
67,COM2,0.556
68,COM1,0.576
69,CPV1,0.643
70,CPV2,0.686
71,CPV3,0.605
72,CPV4,0.698
73,CPV5,0.668
74,DZA1,0.767
75,DZA2,0.741
76,DZA3,0.737
77,DZA4,0.722
78,DZA5,0.735
79,DZA6,0.729
80,DZA7,0.737
81,DJI2,0.465
82,ETH1,0.522
83,ETH2,0.44
84,ETH3,0.477
85,ETH4,0.482
86,ETH5,0.444
87,ETH6,0.489
88,ETH7,0.502
89,ETH8,0.581
90,ETH9,0.603
91,ETH10,0.741
92,ETH11,0.585
93,KEN1,0.636
94,KEN2,0.613
95,KEN3,0.563
96,KEN4,0.568
97,KEN5,0.549
98,KEN6,0.569
99,KEN7,0.546
100,KEN8,0.435
101,MDG1,0.612
102,MDG2,0.511
103,MDG3,0.501
104,MDG4,0.472
105,MDG5,0.496
106,MDG6,0.51
107,MWI1,0.574
108,MWI2,0.538
109,MWI3,0.49
110,MWI4,0.465
111,MWI5,0.546
112,MWI6,0.486
113,MWI7,0.484
114,MWI8,0.52
115,MWI9,0.521
116,MWI10,0.509
117,MWI11,0.554
118,MWI12,0.49
119,MWI13,0.5
120,ZWE1,0.583
121,ZWE2,0.535
122,ZWE3,0.581
123,ZWE4,0.559
124,ZWE5,0.541
125,ZWE6,0.585
126,ZWE7,0.59
127,ZWE8,0.588
128,ZWE9,0.665
129,ZWE10,0.693
130,ZMB1,0.561
131,ZMB2,0.631
132,ZMB3,0.509
133,ZMB4,0.492
134,ZMB5,0.636
135,ZMB6,0.52
136,ZMB7,0.586
137,ZMB8,0.562
138,ZMB9,0.517
139,ZAF1,0.751
140,ZAF2,0.675
141,ZAF3,0.701
142,ZAF4,0.712
143,ZAF5,0.71
144,ZAF6,0.676
145,ZAF7,0.736
146,ZAF8,0.678
147,ZAF9,0.714
148,UGA1,0.582
149,UGA2,0.537
150,UGA3,0.635
151,UGA4,0.526
152,UGA5,0.524
153,UGA6,0.473
154,UGA7,0.483
155,UGA8,0.496
156,UGA9,0.515
157,TZA1,0.497
158,TZA2,0.568
159,TZA3,0.64
160,TZA4,0.569
161,TZA5,0.546
162,TZA6,0.525
163,TZA18,0.521
164,TZA7,0.653
165,TZA8,0.509
166,TZA9,0.507
167,TZA19,0.523
168,TZA10,0.555
169,TZA11,0.577
170,TZA12,0.543
171,TZA13,0.548
172,TZA14,0.482
173,TZA15,0.483
174,TZA16,0.52
175,TZA17,0.508
176,TZA20,0.541
177,TZA21,0.584
178,TZA22,0.639
179,TZA23,0.718
180,TZA24,0.566
181,TZA25,0.603
182,TUN1,0.775
183,TUN2,0.718
184,TUN3,0.708
185,TUN4,0.668
186,TUN5,0.729
187,TUN6,0.726
188,TUN7,0.73
189,TGO1,0.607
190,TGO2,0.521
191,TGO3,0.527
192,TGO4,0.527
193,TGO5,0.508
194,TCD1,0.532
195,TCD2,0.268
196,TCD3,0.334
197,TCD4,0.291
198,TCD5,0.284
199,TCD6,0.458
200,TCD7,0.413
201,TCD8,0.432
202,SWZ1,0.629
203,SWZ2,0.598
204,SWZ3,0.562
205,SWZ4,0.585
206,STP1,0.638
207,STP2,0.586
208,SSD1,0.426
209,SSD2,0.335
210,SSD3,0.344
211,SSD4,0.311
212,SSD5,0.308
213,SSD6,0.416
214,SSD7,0.348
215,SSD8,0.43
216,SSD9,0.463
217,SSD10,0.371
218,SOM1,0.457
219,SOM2,0.401
220,SOM3,0.448
221,SOM4,0.338
222,SOM5,0.323
223,SOM6,0.374
224,SOM7,0.378
225,SOM8,0.429
226,SOM9,0.295
227,SOM10,0.294
228,SOM11,0.33
229,SOM12,0.232
230,SOM13,0.291
231,SOM14,0.315
232,SOM15,0.323
233,SOM16,0.459
234,SOM17,0.279
235,SOM18,0.3
236,SLE1,0.477
237,SLE2,0.438
238,SLE3,0.432
239,SLE4,0.429
240,SDN1,0.628
241,SDN2,0.604
242,SDN3,0.524
243,SDN4,0.458
244,SDN5,0.455
245,SDN6,0.628
246,SDN7,0.551
247,SDN8,0.495
248,SDN9,0.497
249,SDN10,0.422
250,SDN11,0.466
251,SDN12,0.437
252,SDN13,0.467
253,SDN14,0.445
254,SDN15,0.441
255,RWA1,0.626
256,RWA2,0.512
257,RWA3,0.522
258,RWA4,0.512
259,RWA5,0.526
260,NGA1,0.608
261,NGA2,0.662
262,NGA3,0.425
263,NGA4,0.627
264,NGA5,0.604
265,NGA6,0.512
266,NGA7,0.613
267,NGA8,0.485
268,NGA9,0.647
269,NGA10,0.511
270,NGA11,0.481
271,NGA12,0.451
272,NGA13,0.571
273,NGA14,0.681
274,NGA15,0.484
275,NGA16,0.671
276,NGA17,0.61
277,NGA18,0.632
278,NGA19,0.564
279,NGA20,0.648
280,NGA21,0.336
281,NGA22,0.644
282,NGA23,0.662
283,NGA24,0.64
