,user_loc,Mean_friendship,Median_friendship,Std_friendship,Total_friendship,Mean_SCI_with_Self,Median_SCI_with_Self,Std_SCI_with_Self,SCI,Mean_SCI_without_Self,Median_SCI_without_Self,Std_SCI_without_Self,Mean_dist_to_SCI_km,Median_dist_to_SCI_km,Std_dist_to_SCI_km,Total_dist_to_SCI_km,Ratio_selfloop_to_country,Ratio_selfloop_to_africa,Ratio_selfloop_to_all_sci,Average_distance_of_friendships_km,Ratio_SCI_low_hi_africa,Ratio_SCI_middle_hi_africa,Ratio_SCI_high_hi_africa
0,AGO1,29307.145714285714,414.5,513334.0151859188,20515002,2610.911878833396,18.0,152077.38643947072,20858575,920.3465197796695,18.0,17173.13727676117,3004.9407446816012,2657.3144076342246,1320.7376378414544,2103458.5212771213,0.6889406959027635,0.6583887732499368,0.6475440915786433,293.259635815964,0.9848872226410481,0.004675966598868811,0.003234257373765945
1,AGO10,22736.394285714287,525.0,264139.25331094593,15915476,2021.5472524721492,15.0,78400.33432425154,16150141,1190.3938407611417,15.0,25055.179820390425,3325.1699370324054,2886.2933234937736,1494.6951919701883,2327618.9559226837,0.4446486266376281,0.417284095053142,0.4112208679787997,520.6542111269938,0.987413917934215,0.005970969541380475,0.0027843719754521027
2,AGO11,10422.3,418.0,58457.91468621389,7295610,949.5100763549881,17.0,17544.896215712844,7585636,895.092138207311,16.5,16858.263262028773,3020.026424548021,2676.7869855544827,1308.7886443207358,2114018.497183615,0.06757938025346145,0.05971262169989898,0.05742959456530738,715.0337607452617,0.9665324041385587,0.011180605027712903,0.0075355579940825
3,AGO12,45186.577142857146,671.0,837814.6474817989,31630604,3992.6082112905247,17.0,248166.5330954892,31896947,1248.2317225838758,17.0,37640.86410172168,2895.7695109672263,2399.6201398535713,1453.6153957708698,2027038.6576770584,0.7259701955878335,0.693191694979963,0.6874034684259908,384.2950934561355,0.9921776526135871,0.00327432590962389,0.001815565608833974
4,AGO13,42681.49285714285,567.5,749437.3132623822,29877045,3769.506821880085,14.0,222022.46880150202,30114590,1327.8943415122685,14.0,40841.028597208824,2965.7098188553728,2425.540190159207,1534.8194070346397,2075996.8731987607,0.6756739110684247,0.6529216661152399,0.6477713958582866,372.81577883260377,0.99311137890305,0.0033836090745382884,0.0015273991776079303
5,AGO14,32079.152857142857,432.0,585267.3242050984,22455407,2837.848666917011,14.0,173367.8232589905,22671573,908.8034551827742,14.0,18101.190516783154,2968.62109693726,2501.3820815142735,1405.5094841415764,2078034.7678560822,0.7113023408009371,0.6863403099306995,0.6797962805668579,369.66962423772867,0.9914306343013782,0.003920460216853943,0.0018797548807045722
6,AGO15,52632.97285714286,470.0,1105251.2845590604,36843081,4635.342470897484,11.0,327287.75004773564,37031751,982.4743365047572,11.0,22727.715250830097,3119.675491714388,2585.036282183053,1626.3864608771303,2183772.844200072,0.8131109146546519,0.7921092701232016,0.7880736182310147,415.52487490589823,0.9952441082248582,0.002497775490011261,0.0010455622257775497
7,AGO16,44029.595714285715,410.0,854798.5954184091,30820717,3889.8113656277383,16.0,253167.88548172594,31075703,1071.2045568352528,16.0,25001.834739349837,3436.6498794341915,3073.8237036834817,1452.202421092974,2405654.9156039343,0.7493679899579878,0.7306423468344361,0.7246471946266188,409.38469212344404,0.9928637817139647,0.002980463547357239,0.0016621667416502211
8,AGO17,31297.405714285713,406.0,605102.4704792553,21908184,2765.3859056202277,12.0,179216.5440121228,22092668,767.0607160741112,12.0,14700.15421154449,2874.23319202391,2499.2534879280142,1307.1534427575577,2011963.2344167368,0.7540377233590737,0.7287407755932669,0.7226554529312621,370.5422572148846,0.9924922603281776,0.0036289415112742383,0.0016945440903742364
9,AGO18,34687.23,424.0,686539.4160480422,24281061,3067.7479033671298,13.0,203324.82108498382,24508238,798.7916875312969,13.0,14571.916897659308,2898.004983838946,2605.3989178259735,1263.0984464308506,2028603.4886872624,0.778149907705854,0.7465691058557944,0.7396488478690308,379.3271370770818,0.9914593615420252,0.0031844394525628486,0.002386422067551327
