,GID_1,HDI
0,SEN1,0.607
12,SEN13,0.607
0,SEN1,0.562
1,SEN2,0.562
2,SEN3,0.562
7,SEN8,0.562
12,SEN13,0.562
1,SEN2,0.503
2,SEN3,0.503
3,SEN4,0.503
4,SEN5,0.503
12,SEN13,0.503
649,GMB4,0.503
1,SEN2,0.459
2,SEN3,0.459
3,SEN4,0.459
4,SEN5,0.459
7,SEN8,0.459
8,SEN9,0.459
11,SEN12,0.459
648,GMB3,0.459
649,GMB4,0.459
1,SEN2,0.39
2,SEN3,0.39
3,SEN4,0.39
7,SEN8,0.39
12,SEN13,0.39
1,SEN2,0.452
3,SEN4,0.452
7,SEN8,0.452
8,SEN9,0.452
9,SEN10,0.452
12,SEN13,0.452
2,SEN3,0.45
4,SEN5,0.45
647,GMB2,0.45
648,GMB3,0.45
649,GMB4,0.45
3,SEN4,0.454
5,SEN6,0.454
6,SEN7,0.454
8,SEN9,0.454
11,SEN12,0.454
540,MRT6,0.454
561,MLI3,0.454
648,GMB3,0.454
650,GMB5,0.454
652,GIN1,0.454
657,GIN6,0.454
3,SEN4,0.342
4,SEN5,0.342
6,SEN7,0.342
11,SEN12,0.342
647,GMB2,0.342
648,GMB3,0.342
649,GMB4,0.342
650,GMB5,0.342
3,SEN4,0.464
7,SEN8,0.464
8,SEN9,0.464
9,SEN10,0.464
11,SEN12,0.464
537,MRT3,0.464
539,MRT5,0.464
540,MRT6,0.464
547,MRT13,0.464
5,SEN6,0.44
6,SEN7,0.44
11,SEN12,0.44
642,GNB6,0.44
645,GNB9,0.44
652,GIN1,0.44
656,GIN5,0.44
657,GIN6,0.44
5,SEN6,0.399
561,MLI3,0.399
652,GIN1,0.399
654,GIN3,0.399
656,GIN5,0.399
657,GIN6,0.399
658,GIN7,0.399
5,SEN6,0.393
11,SEN12,0.393
536,MRT2,0.393
540,MRT6,0.393
542,MRT8,0.393
561,MLI3,0.393
563,MLI5,0.393
654,GIN3,0.393
655,GIN4,0.393
657,GIN6,0.393
6,SEN7,0.433
10,SEN11,0.433
637,GNB1,0.433
638,GNB2,0.433
639,GNB3,0.433
641,GNB5,0.433
643,GNB7,0.433
6,SEN7,0.388
637,GNB1,0.388
642,GNB6,0.388
645,GNB9,0.388
652,GIN1,0.388
6,SEN7,0.463
637,GNB1,0.463
642,GNB6,0.463
643,GNB7,0.463
644,GNB8,0.463
645,GNB9,0.463
6,SEN7,0.454
10,SEN11,0.454
11,SEN12,0.454
13,SEN14,0.454
637,GNB1,0.454
641,GNB5,0.454
642,GNB6,0.454
643,GNB7,0.454
647,GMB2,0.454
648,GMB3,0.454
650,GMB5,0.454
651,GMB6,0.454
652,GIN1,0.454
6,SEN7,0.426
11,SEN12,0.426
648,GMB3,0.426
650,GMB5,0.426
6,SEN7,0.443
10,SEN11,0.443
647,GMB2,0.443
648,GMB3,0.443
649,GMB4,0.443
651,GMB6,0.443
8,SEN9,0.452
11,SEN12,0.452
536,MRT2,0.452
539,MRT5,0.452
540,MRT6,0.452
561,MLI3,0.452
8,SEN9,0.474
9,SEN10,0.474
536,MRT2,0.474
537,MRT3,0.474
539,MRT5,0.474
540,MRT6,0.474
9,SEN10,0.531
536,MRT2,0.531
537,MRT3,0.531
539,MRT5,0.531
545,MRT11,0.531
547,MRT13,0.531
9,SEN10,0.666
535,MRT1,0.666
537,MRT3,0.666
543,MRT9,0.666
544,MRT10,0.666
547,MRT13,0.666
10,SEN11,0.503
13,SEN14,0.503
638,GNB2,0.503
641,GNB5,0.503
643,GNB7,0.503
10,SEN11,0.589
13,SEN14,0.589
641,GNB5,0.589
651,GMB6,0.589
10,SEN11,0.53
13,SEN14,0.53
646,GMB1,0.53
647,GMB2,0.53
651,GMB6,0.53
14,AGO1,0.451
15,AGO2,0.451
16,AGO3,0.451
19,AGO6,0.451
20,AGO7,0.451
22,AGO9,0.451
27,AGO14,0.451
14,AGO1,0.542
19,AGO6,0.542
20,AGO7,0.542
27,AGO14,0.542
30,AGO17,0.542
14,AGO1,0.579
19,AGO6,0.579
20,AGO7,0.579
24,AGO11,0.579
30,AGO17,0.579
31,AGO18,0.579
14,AGO1,0.702
24,AGO11,0.702
14,AGO1,0.615
30,AGO17,0.615
31,AGO18,0.615
712,COD11,0.615
14,AGO1,0.541
19,AGO6,0.541
27,AGO14,0.541
30,AGO17,0.541
31,AGO18,0.541
712,COD11,0.541
713,COD12,0.541
15,AGO2,0.516
16,AGO3,0.516
18,AGO5,0.516
21,AGO8,0.516
22,AGO9,0.516
23,AGO10,0.516
29,AGO16,0.516
15,AGO2,0.535
16,AGO3,0.535
20,AGO7,0.535
22,AGO9,0.535
23,AGO10,0.535
15,AGO2,0.582
21,AGO8,0.582
23,AGO10,0.582
29,AGO16,0.582
515,NAM6,0.582
15,AGO2,0.529
20,AGO7,0.529
22,AGO9,0.529
23,AGO10,0.529
29,AGO16,0.529
16,AGO3,0.507
18,AGO5,0.507
21,AGO8,0.507
23,AGO10,0.507
28,AGO15,0.507
254,ZMB10,0.507
513,NAM4,0.507
516,NAM7,0.507
522,NAM13,0.507
16,AGO3,0.501
18,AGO5,0.501
20,AGO7,0.501
22,AGO9,0.501
23,AGO10,0.501
26,AGO13,0.501
27,AGO14,0.501
28,AGO15,0.501
16,AGO3,0.581
25,AGO12,0.581
26,AGO13,0.581
27,AGO14,0.581
28,AGO15,0.581
716,COD15,0.581
16,AGO3,0.567
19,AGO6,0.567
20,AGO7,0.567
25,AGO12,0.567
26,AGO13,0.567
27,AGO14,0.567
30,AGO17,0.567
713,COD12,0.567
16,AGO3,0.504
18,AGO5,0.504
26,AGO13,0.504
28,AGO15,0.504
251,ZMB7,0.504
254,ZMB10,0.504
716,COD15,0.504
17,AGO4,0.479
30,AGO17,0.479
31,AGO18,0.479
54,COG1,0.479
61,COG8,0.479
64,COG11,0.479
711,COD10,0.479
712,COD11,0.479
713,COD12,0.479
17,AGO4,0.681
58,COG5,0.681
61,COG8,0.681
712,COD11,0.681
17,AGO4,0.463
58,COG5,0.463
61,COG8,0.463
63,COG10,0.463
664,GAB5,0.463
17,AGO4,0.53
54,COG1,0.53
58,COG5,0.53
59,COG6,0.53
61,COG8,0.53
661,GAB2,0.53
663,GAB4,0.53
664,GAB5,0.53
666,GAB7,0.53
712,COD11,0.53
18,AGO5,0.524
513,NAM4,0.524
516,NAM7,0.524
520,NAM11,0.524
521,NAM12,0.524
522,NAM13,0.524
770,BWA12,0.524
18,AGO5,0.541
21,AGO8,0.541
513,NAM4,0.541
516,NAM7,0.541
518,NAM9,0.541
519,NAM10,0.541
520,NAM11,0.541
18,AGO5,0.519
21,AGO8,0.519
23,AGO10,0.519
29,AGO16,0.519
515,NAM6,0.519
516,NAM7,0.519
518,NAM9,0.519
18,AGO5,0.575
253,ZMB9,0.575
254,ZMB10,0.575
513,NAM4,0.575
522,NAM13,0.575
760,BWA2,0.575
770,BWA12,0.575
18,AGO5,0.517
28,AGO15,0.517
245,ZMB1,0.517
251,ZMB7,0.517
253,ZMB9,0.517
254,ZMB10,0.517
522,NAM13,0.517
21,AGO8,0.585
515,NAM6,0.585
516,NAM7,0.585
518,NAM9,0.585
519,NAM10,0.585
21,AGO8,0.544
29,AGO16,0.544
511,NAM2,0.544
515,NAM6,0.544
518,NAM9,0.544
519,NAM10,0.544
520,NAM11,0.544
521,NAM12,0.544
25,AGO12,0.464
26,AGO13,0.464
28,AGO15,0.464
245,ZMB1,0.464
246,ZMB2,0.464
248,ZMB4,0.464
251,ZMB7,0.464
